ax,ay,az
0.46,-2.42,0.28
0.1,-1.94,0.62
-0.51,-1.11,0.57
-0.85,-0.61,0.32
-0.97,-1,0.07
-0.71,-1.64,0.29
-0.42,-1.92,0.71
-0.06,-0.8,0.58
0.08,0.67,0.54
0.12,1.28,0.75
-0.56,0.73,0.84
-0.41,0.31,0.89
0.16,0.47,1.08
0.11,0.69,1.58
-0.32,0.64,1.72
-0.64,0.39,1.29
-0.81,0.94,0.25
-0.27,2.69,-0.83
1.14,4.17,-1.16
1.97,3.63,-0.64
-0.12,1.91,0.16
-1.52,2.61,0.02
-0.66,2.69,-0.64
1.01,0.85,-1.56
0.83,-0.91,-1.01
0.51,-1.35,-0.42
0.89,-0.47,-0.22
1.04,0.32,0.03
0.77,0.63,-0.14
0.42,0.52,-0.24
0,0.45,-0.09
-0.31,0.69,-0.42
-0.45,0.58,-0.87
-0.46,0,-0.66
-0.53,-0.65,-0.12
-0.45,-0.65,-0.02
-0.25,-0.13,-0.3
-0.07,0.26,-0.42
-0.22,0.03,-0.29
-0.32,-0.34,-0.21
-0.25,-0.01,-0.15
-0.03,0.55,-0.17
0.16,0.7,-0.16
0.17,0.1,-0.15
0.07,-0.59,-0.13
-0.06,-0.68,-0.24
-0.23,-0.23,-0.14
-0.28,0.27,0.02
-0.22,0.23,0.12
0.03,-0.38,-0.1
0.15,-0.65,-0.44
0.11,-0.86,-0.63
0.04,-1.09,-0.58
-0.11,-1.84,-0.48
-0.41,-2.19,-0.37
-0.54,-1.47,0.01
-0.28,-0.81,0.22
-0.02,-0.35,0.18
-0.03,-0.67,0.04
0.05,-0.92,0.09
0.14,-1.31,0.13
-0.17,-1.18,0.07
-0.95,-0.65,0.33
-1.28,0.08,0.71
-0.52,0.61,0.69
0.56,-0.09,0.39
0.57,-0.79,0.28
-0.5,-0.8,0.26
-1.25,0.08,0.21
-1.23,0.2,0.37
-0.61,-0.17,0.65
0.23,-0.51,0.47
0.82,0.81,-0.28
-0.25,2.42,-0.61
-0.75,2.18,-0.7
0.37,1.39,0.43
2.31,3.14,1.09
2.56,6.26,0.61
0.95,5.4,-1.37
-0.27,1.59,-1.18
-0.76,-0.88,-0.8
-0.99,-1.46,-0.71
-1.11,-1.4,0.1
-0.81,-1.23,0.12
-0.08,-0.5,-0.27
0.25,0.21,-0.27
0.59,0.92,-0.1
1.07,1.2,0.16
1.25,0.95,0.34
1.07,0.41,0.31
0.6,-0.24,0.04
0.1,-0.7,-0.34
-0.1,-0.98,-0.33
0,-0.66,-0.12
0.28,0.13,0
0.38,0.69,-0.02
0.07,0.67,-0.02
-0.28,0.24,0.08
-0.56,-0.27,0.32
-0.58,-0.4,0.21
-0.22,-0.01,0.04
0.16,0.29,0.04
0.26,0.16,0.18
0.14,-0.36,0.49
0.16,-0.76,0.4
0.24,-0.56,0.13
0.26,0.04,-0.09
0.31,0.07,-0.06
0.37,-0.44,-0.06
0.59,-0.6,-0.19
0.6,-0.54,-0.24
0.16,-0.84,-0.12
-0.45,-1.53,-0.15
-0.54,-1.68,-0.57
-0.15,-1.12,-1.04
0.24,-0.79,-0.84
0.32,-1.27,-0.37
0.05,-2.04,0.33
-0.04,-2.11,0.59
-0.17,-1.23,0.54
-0.26,-0.39,0.25
-0.13,-0.31,-0.01
-0.06,-0.59,0.24
0.16,-0.16,1.04
0.17,0.82,1.4
-0.31,1.43,1.01
-0.79,1.13,0.37
-0.38,0.71,0.51
0.18,0.7,0.96
-0.14,0.55,1.09
-0.64,-0.31,0.89
-0.48,-1.68,0.88
-0.29,-2.06,0.87
-0.33,-0.54,0.5
-0.59,1.4,-0.28
-0.38,3.18,-1
1.11,4.55,-1
2.51,3.97,-0.67
2.22,1.22,-0.3
-0.11,-1.36,0.35
-2.13,-0.36,-0.58
-1.2,2.4,-1.22
0.77,3.24,-0.98
1.52,1.54,-0.64
0.62,-0.89,-0.04
-0.35,-1.78,-0.1
-0.42,-0.82,-0.28
0.61,1.05,-0.36
1.18,1.54,-0.08
0.77,0.8,-0.23
0.15,0.17,-0.44
-0.01,-0.12,-0.45
0.01,-0.12,-0.12
-0.18,-0.4,-0.03
-0.24,-0.46,-0.06
-0.18,-0.23,-0.07
-0.05,0.17,-0.18
-0.03,0.56,-0.21
-0.2,0.32,0.01
-0.34,-0.1,0.25
-0.49,-0.59,0.57
-0.46,-0.67,0.13
0.02,-0.25,-0.41
0.6,0.8,-0.25
0.11,0.07,-0.08
-0.63,-1.16,0.19
-0.76,-1.34,-0.19
-0.21,-0.25,-0.2
0.16,0.51,-0.09
0.24,-0.13,0.11
-0.03,-2.26,0.06
-0.12,-2.61,-0.23
-0.23,-1.07,0.27
-0.02,0.1,0.27
-0.12,-0.03,-0.16
-0.63,-0.15,-0.25
-0.53,0.13,0.07
0.07,0.24,0.09
0.52,-0.51,0.22
0.19,-1.53,0.67
-0.33,-1.44,1.01
-0.91,-0.56,1.32
-0.95,0.33,0.68
-0.89,0.6,0.36
-1.19,0.53,0.78
-1.03,0.51,1.08
-0.7,-0.03,1.03
-0.44,-0.95,0.62
-1.01,-1.45,0.91
-1.43,-1.32,0.54
-0.91,-1.39,0.25
0.02,-1.89,0.19
0.59,-2.09,0.08
1.16,-0.5,-0.71
0.89,2.33,-1.11
-0.47,2.59,-1.07
0.53,0.61,-0.35
1.97,0.73,0.23
2.96,3.87,0.08
2.79,6.85,0.03
2.01,6.67,-1.02
-1.33,1.44,-0.68
-1.32,-0.54,-0.78
-1.07,-0.71,-1.05
-0.78,-0.39,-0.84
-0.39,-0.67,-0.43
0.04,-0.99,-0.24
0.53,-0.36,-0.18
0.76,0.57,-0.18
0.77,1.11,-0.13
0.46,0.54,0.18
0.19,0.04,0.12
0.22,0.17,-0.19
0.22,0.47,-0.41
0.02,0.49,-0.47
-0.14,-0.12,-0.19
-0.16,-0.69,0.08
0.06,-0.63,0.01
0.36,-0.14,-0.11
0.41,0.33,-0.09
0.13,0.32,-0.04
-0.1,0.06,0.09
-0.16,-0.15,0.29
0.11,0.16,0.3
0.04,0.47,0.43
-0.13,0.16,0.5
-0.24,-0.45,0.32
-0.18,-0.68,0.11
-0.04,-0.58,0.12
0.1,-0.38,0.27
0.17,-0.26,0.28
0.2,-0.16,0.21
0.1,-0.04,0.17
-0.08,-0.14,0.26
-0.37,-0.39,0.31
-0.36,-0.37,0.02
-0.17,-0.2,-0.24
0.13,-0.06,-0.21
0.49,-0.63,-0.1
0.67,-1.41,-0.24
0.35,-1.7,-0.28
0.12,-1.17,-0.36
-0.01,-1.16,-0.35
-0.08,-1.86,-0.06
0,-2.73,0.06
0.44,-2.44,0.09
0.55,-1.39,0.06
0.44,-0.56,0.13
0.29,-0.49,0.35
-0.42,-1.2,0.49
-0.8,-1.58,0.56
-0.18,-0.97,0.45
0.14,0.12,0.97
-0.06,1.16,1.19
-0.25,1.28,1.12
-1.1,-0.13,0.91
-1.56,-1.06,0.61
-1.21,-0.23,0.33
-0.31,2.39,0.21
0.86,5.69,-0.45
2.57,6.39,-0.21
3.13,2.3,-0.45
-1,0.9,0.47
-2.57,4.59,-0.06
-0.14,4.68,-0.22
2.1,0.92,-0.48
0.99,-2.31,0.14
-0.51,-3.28,0.16
-0.77,-2.02,-0.53
0.11,0.03,-0.98
0.77,1.38,-0.9
0.58,1.28,-0.59
0.06,0.34,-0.55
-0.39,-0.09,-0.71
-0.42,-0.09,-0.51
-0.09,0.15,-0.19
0.26,0.4,-0.18
0.47,0.42,-0.2
0.4,0.18,-0.21
0.37,-0.1,-0.44
0.35,-0.05,-0.53
0.24,0.38,-0.47
0.16,0.49,-0.27
0.25,0.29,-0.31
0.15,0,-0.31
-0.01,-0.25,-0.04
-0.28,-0.14,0.04
-0.35,0.05,-0.03
-0.41,0.13,-0.06
-0.44,0.27,-0.05
-0.31,0.02,0.07
-0.15,-0.36,0.14
-0.14,-0.33,0.11
-0.24,-0.18,0.15
-0.38,-0.25,0.13
-0.56,-0.16,0.1
-0.5,0.08,0.13
-0.22,0.17,0.25
0.06,-0.01,0.23
0.1,-0.36,0.08
-0.08,-0.53,-0.04
-0.29,-0.12,0.08
-0.47,0.04,0.52
-0.62,-0.72,0.56
-0.33,-1.56,-0.03
-0.1,-1.75,-0.27
-0.13,-1.02,0.11
-0.39,-0.71,0.4
-0.21,-1,0.09
0.1,-1.91,-0.13
0.02,-2.57,0.28
-0.51,-2.05,0.81
-0.72,-0.87,0.92
-0.69,0.03,0.54
-0.64,-0.04,0.59
-0.62,-0.73,1.08
-0.45,-1.65,1.22
-0.24,-1.81,0.95
-0.42,-0.77,0.61
-0.99,0.1,0.9
-1.39,-0.2,1.14
-1.37,-1.46,1.46
-0.7,-1.91,1.15
0.37,-0.32,0.13
1.9,3.45,-0.85
1.54,5.84,-1.76
0.34,4.1,-1.85
2.45,2.26,-0.15
