ax,ay,az
0.34,3.64,0.59
-0.53,2.53,0.23
-0.68,2.05,-0.61
-0.77,0.97,-0.98
-0.65,-0.94,-0.78
-0.15,-2.84,-1.15
0.34,-4.17,-1.22
0.54,-4.76,-0.88
0.85,-4.14,-0.85
0.83,-2.67,-0.91
0.63,-1.12,-0.74
0.55,0.09,-0.47
0.48,0.98,-0.2
0.6,1.5,-0.1
0.57,1.48,0.07
-0.05,1.08,0.48
-0.52,0.65,0.98
-0.61,0.28,1.13
-0.42,0.36,1.1
-0.33,0.59,0.87
-0.37,0.38,0.73
-0.32,-0.32,0.49
-0.16,-0.65,0.18
-0.09,-0.58,0.27
-0.11,-0.41,0.35
0.2,-0.52,0.58
0.39,-0.82,1.03
0.46,-0.62,0.17
0.36,-0.18,0.02
0.07,-0.4,0.36
-0.16,-1.29,0.67
-0.14,-2.02,0.3
-0.21,-2.64,0.01
-0.47,-3.2,0.06
-0.12,-3.11,-0.08
0.79,-2.56,0.19
0.82,-2.83,0.72
0.25,-3.61,1.26
0.12,-3.8,1.49
0.44,-3.56,1.38
0.41,-3.52,0.69
-0.39,-2.46,-0.93
1.04,1.15,-2.09
3.49,4.7,-1.18
2.53,6.14,-0.82
0.05,5.33,-1.29
-2.54,7.95,0.41
-3.23,11.03,1.29
-1.52,8.16,0.18
-0.06,4.03,0.67
0.62,2.13,0.49
0.6,1.43,0.51
0.5,0.78,-0.39
0.22,-0.57,-0.73
-0.32,-2,-0.89
-0.72,-3.2,-0.83
-0.91,-3.94,-0.75
-0.95,-3.99,-0.67
-1.11,-3.38,-0.54
-1.01,-2.33,-0.57
-0.95,-1.02,-0.19
-1.01,0.61,-0.02
-0.65,2.14,0.36
-0.07,2.45,0.83
0.31,1.32,0.7
-0.02,0.2,0.19
-0.32,0.28,0.01
-0.72,0.8,0
-0.8,0.72,-0.12
-0.44,0.07,-0.08
-0.25,-0.9,0.41
0.11,-1.98,0.83
0.35,-2.94,0.67
0.38,-4.03,0.94
0.03,-5.11,0.91
-0.44,-5.8,0.16
-0.91,-6.19,-0.12
-1.38,-6.12,-0.72
-1.85,-5.85,-0.74
-1.9,-5.99,-0.14
0.43,-5.69,-1.07
1.71,-2.24,-2.35
-0.54,3.28,-1.59
1.27,12.03,-4.59
2.52,14.99,-1.68
3.66,13.24,0.76
3.36,11.27,3.03
1.52,7.37,2.1
0.33,5.78,0.52
-0.68,5.06,-0.64
-0.7,3.21,-1.38
-0.96,0.48,-1.3
-1.03,-2.19,-0.72
-0.66,-4.34,-0.74
0.16,-5.6,-0.64
0.9,-5.89,-0.2
1.18,-5.23,-0.14
0.8,-3.9,-0.26
0.38,-2.47,-0.57
0.33,-1.08,-1.12
0.42,0.67,-1.03
0.23,2.78,0.12
0.72,4.47,-0.21
0.57,3.89,0.93
-0.06,1.61,1.62
-0.73,0.22,1.22
-1.05,-0.06,0.87
-0.85,-0.19,0.33
-0.5,-0.82,-0.06
-0.22,-1.55,-0.32
0.04,-1.68,-0.21
0.04,-1.6,0.07
0.03,-1.24,0.17
0.17,-0.81,0.12
0.22,-0.39,0.27
-0.03,-0.39,0.51
-0.2,-0.9,0.53
-0.32,-1.93,0.46
-0.48,-2.92,0.63
-0.76,-3.53,0.65
-0.84,-2.74,0.59
-0.45,-1.33,0.65
0.1,-0.58,0.82
0.43,-0.56,1.41
0.66,-0.7,1.93
0.56,-0.67,1.97
0.02,-0.46,1.01
0.33,0.12,0.89
0.59,0.59,0.56
0.38,0.75,-0.09
-0.03,1.18,-0.48
1.55,2.23,-0.67
2.87,0.92,-0.17
0.64,-1.02,0.14
-2.1,0.84,-0.82
-2.63,5.08,-1.61
-2.05,8.19,-0.31
-0.48,5.46,-0.06
-0.4,1.24,-0.07
-0.37,0.27,0.31
0.01,0.73,0.26
0.13,0.6,0.25
0.3,-0.29,0.07
0.52,-0.96,-0.21
0.45,-1.18,-0.56
0.13,-1.01,-0.55
0.04,-0.73,-0.49
0.06,-0.45,-0.45
-0.01,-0.31,-0.53
-0.15,-0.35,-0.52
-0.47,-0.41,-0.19
-0.79,-0.33,0.42
-0.83,-0.31,0.66
-0.75,0.19,0.23
-0.59,0.94,-0.29
-0.48,1.18,-0.36
-0.3,0.64,-0.07
0.3,-0.19,0.03
0.74,-1.01,0.1
1.03,-1.58,0.16
0.86,-2.42,0.51
0.2,-3.32,-0.2
-0.73,-4.15,0.19
-1.54,-4.77,0.51
-1.9,-4.67,0.27
-2.26,-4.18,-0.26
-2.22,-4.6,-0.27
-1.38,-5.38,-0.56
-0.53,-5.66,-0.29
0.6,-5.96,-0.67
2.27,-2.32,-3.53
-0.15,2.9,-0.63
-0.81,9.17,-2.83
2.43,11.14,-1.85
4.07,10.29,0.38
2.89,10.72,2.51
2.13,9.57,1.44
-0.32,5.96,0.4
-0.77,5.36,0.43
-0.79,3.97,0
-1.18,2.54,-0.55
-1.2,0.61,-0.88
-0.73,-1.65,-1.34
-0.01,-3.16,-1.08
0.57,-4.21,-0.54
0.68,-4.87,-0.29
0.93,-4.55,-0.44
0.86,-3.69,-0.48
0.45,-2.59,-0.45
0.13,-1,-0.96
0.24,0.54,-0.39
0.7,1.95,-0.4
0.9,3.02,-0.21
0.35,2.67,0.32
-0.31,1.22,0.65
-0.53,-0.07,0.57
-0.69,-0.31,0.39
-0.32,0.18,0.01
-0.04,0.42,-0.08
-0.01,0.13,0.02
-0.36,-0.38,0.53
-0.59,-0.86,0.64
-0.8,-1.21,0.79
-0.68,-1.1,0.51
-0.33,-0.64,0.34
-0.02,-0.4,0.38
-0.05,-0.71,0.53
0.07,-1.63,0.58
-0.11,-2.63,0.45
0.05,-2.68,-0.09
0.24,-2.1,-0.53
-0.09,-1.92,-0.29
-0.2,-2.23,0.46
0.14,-2.2,1.23
0.34,-1.21,2.11
0.05,-0.26,1.64
-0.6,-0.68,0.48
0.02,-1,-0.77
0.84,-0.51,-0.35
0.55,-0.91,0.71
-0.01,-1.31,0.01
0.18,-1.09,-0.07
0.23,-0.45,-0.48
0.77,0.6,-1.6
1.77,1.46,-2.62
0.62,2.44,-2.02
-1.49,4.44,-0.76
-1.71,8.3,0.94
0.25,7.94,1.14
-0.57,3.13,0.97
-1.42,1.38,1.11
-0.52,2.85,0.86
1.34,4.48,-0.05
1.48,3.15,-0.39
0.98,0.75,-0.28
0.67,-0.89,-0.31
-0.02,-1.93,-0.31
-0.87,-2.47,-0.63
-0.93,-2.61,-0.79
-0.58,-2.34,-0.81
-0.56,-1.9,-0.69
-0.48,-1.23,-0.68
-0.26,-0.61,-0.72
-0.22,-0.33,-0.55
-0.26,0.05,-0.17
-0.2,0.6,-0.46
0.19,0.74,0.17
-0.15,0.06,0.29
-0.1,0.13,-0.37
-0.22,0.37,-0.55
-0.68,0.67,-0.63
-0.93,0.69,-0.66
-0.14,0.68,-0.55
0.71,0.39,0.08
1.18,-0.01,0.75
1.15,-0.37,0.89
0.67,-0.47,0.82
0.12,-0.28,0.68
-0.3,-0.29,0.75
-0.42,-0.42,0.75
-0.71,-0.39,0.61
-0.89,-0.21,0.44
-0.85,0.08,0.24
-0.72,0.21,0.09
-0.61,-0.05,0.07
-0.39,-0.33,0.04
-0.31,-0.5,0.05
-0.25,-0.5,0.01
-0.38,-0.93,0.14
-0.55,-1.59,0.25
-0.34,-2.2,0.22
0.01,-2.88,0.23
0.16,-3.43,-0.12
-0.09,-3.86,-0.2
-0.65,-3.73,-0.12
-1.05,-2.63,-0.38
-1.68,-1.15,0.33
-2.05,-1.39,1.25
-0.92,-2.71,1
0.19,-3.46,0.64
0.13,-3.22,0.05
0.02,-0.47,-0.79
-0.48,2.85,0.22
0.33,5.14,-1.41
1.48,5.8,-0.9
2.02,6.51,-1.21
3.55,9.68,-0.58
2.91,9.39,0.26
1.75,5.25,-0.31
0.59,2.17,0.33
-0.25,1.09,-0.08
-0.45,1.08,-1.09
-0.33,0.25,-1.05
-0.2,-1.15,-0.79
0.28,-2.49,-0.78
0.63,-3.28,-0.91
0.72,-2.88,-0.66
0.63,-1.8,-0.57
0.57,-0.74,-0.28
0.55,0.51,-0.91
0.64,1.39,-0.41
0.43,1.24,-0.67
-0.16,0.5,-0.06
-0.38,0.11,0.44
-0.15,0.21,0.28
-0.52,0.26,0.16
-0.79,-0.06,0.18
-0.97,-0.25,-0.01
-1,-0.21,-0.36
-0.78,0.15,-0.43
-0.37,0.13,0.02
0.21,-0.5,0.61
0.57,-0.67,1.03
0.67,-0.39,0.89
0.49,0.07,0.6
0.27,0.18,0.38
-0.41,0.12,0.32
-0.32,0.3,-0.17
0.02,0.36,-0.33
0,0.33,-0.17
-0.26,0.19,0.03
-0.34,-0.14,-0.12
-0.52,-0.33,-0.24
-0.38,-0.17,-0.44
-0.16,-0.05,-0.2
-0.31,-0.53,0.85
-0.2,-0.78,0.32
0.03,-0.99,0.66
0.21,-1.36,1.1
0.45,-1.45,1.19
0.21,-1.25,1.15
-0.33,-1.19,0.95
-0.57,-1.78,0.75
-0.36,-2.52,0.49
-0.05,-2.8,0.43
0.07,-2.33,0.2
-0.29,-1.88,0.03
-0.52,-1.73,-0.19
-0.27,-1.39,-0.15
0.65,-0.6,-0.01
0.5,-0.29,0.8
-0.03,-0.14,0.97
0.2,0.29,0.88
0.7,1.47,0.07
0.64,2.31,-0.8
1.6,3.11,-2.23
2.97,1.22,-2.23
0.6,-1.4,-0.12
-2.05,-0.76,-0.34
-1.28,2.99,-0.88
0.58,7.63,-1.26
3.75,6.45,-2.09
1.12,1.75,-0.18
-2.09,-0.36,1.72
-3.22,0.23,1.72
-2.08,2.61,0.45
-0.16,3.55,-0.45
0.95,1.83,-0.55
0.2,-0.18,0.11
-0.23,-1.36,0.12
-0.11,-1.76,-0.3
0.21,-1.54,-0.68
0.31,-1.11,-0.81
-0.11,-0.54,-0.39
-0.46,-0.45,-0.39
-0.5,-0.44,-0.54
-0.07,-0.36,-0.56
0.19,-0.29,-0.31
0.33,0.14,-0.43
0.17,0.66,-0.36
-0.22,0.73,0.11
-0.19,0.48,0.61
0.03,0.42,0.42
0.38,0.56,0.78
0.64,0.38,0.68
0.77,0.03,0.47
0.65,-0.36,0.67
0.5,-0.43,0.53
0.01,-0.32,0.22
-0.52,-0.19,-0.02
-0.75,-0.21,0.1
-0.67,-0.27,0.2
-0.49,-0.35,0.22
-0.34,-0.48,0.15
-0.35,-0.47,-0.05
-0.45,-0.66,0.03
-0.64,-0.97,0.18
-0.55,-1.25,0.24
-0.34,-1.35,0.22
-0.32,-1.29,0.21
-0.28,-1.43,-0.04
0.03,-1.71,-0.47
0.17,-2.18,-0.49
-0.4,-2.34,0.02
-1.17,-2.29,0.26
-1.22,-2.85,0.36
-0.35,-3.13,-0.03
-0.43,-2.63,0.69
-1.94,-2.63,0.97
-2.08,-3.24,0.41
0.06,-3.22,-0.01
0.9,-1.01,-0.01
0.74,3.07,-1.28
1.26,6.33,-1.59
1.24,5.75,-0.4
0.38,4.87,1.29
0.38,7.19,0.79
2.04,10.36,-0.3
