ax,ay,az
-0.57,-0.37,-1.36
-0.32,-0.47,-1.48
-0.17,-0.02,-1.74
0.17,0.31,-1.77
0.03,0.29,-1.17
-0.16,-0.05,-0.7
-0.02,-0.69,-0.33
0.2,-1.7,0.02
0.35,-2.61,-0.54
0.4,-3.73,0
0.45,-4.47,-0.12
0.48,-4.67,-0.59
0.27,-4.02,-0.88
-0.04,-2.79,-1.09
-0.35,-1.45,-1.05
-0.31,-0.51,-0.9
-0.28,0.03,-0.26
-0.03,0.5,-0.26
0.04,0.74,-0.14
0.15,1.04,0.25
0.23,0.8,0.57
0.27,0.18,0.64
0.38,-0.37,0.51
0.22,-0.44,0.4
0.08,-0.08,0.17
0.06,0.34,-0.2
0,0.23,-0.21
-0.26,-0.14,-0.02
-0.24,-0.41,0.03
-0.14,-0.67,0.32
-0.29,-0.28,-0.39
-0.48,-0.05,0.04
-0.3,-0.08,0.23
0.24,0.2,0.06
0.04,0.5,0.29
-0.47,-0.22,0.93
-0.54,-1.13,1.35
-0.42,-1.22,1.04
-0.23,-0.54,0.57
-0.18,-0.14,0.31
-0.41,-0.45,0.66
-0.68,-0.49,0.76
-0.76,0.14,0.24
-0.5,0.82,-0.28
-0.36,1.46,-0.66
-0.28,2.01,-0.63
-0.09,1.87,0.32
-0.05,1.6,1.32
-0.11,2.25,1.76
-0.07,3.51,1.58
-0.51,4.52,0.96
-0.93,4.47,1.02
-0.84,3.62,0.4
-0.23,2.27,-0.02
0.52,0.85,0.07
1.21,0.14,-0.85
1.04,0,-1.63
0.67,0.17,-1.96
0.23,0.47,-1.93
0.07,0.52,-1.56
0.22,0.04,-1.2
0.38,-0.52,-0.99
0.62,-0.84,-0.89
0.62,-1.23,-0.59
0.57,-1.83,-0.46
0.61,-2.45,-0.49
0.57,-3.06,-0.53
0.43,-3.67,-0.48
0.52,-4.08,-0.46
0.67,-3.82,-0.47
0.8,-2.64,-0.67
0.57,-1.21,-0.78
0.17,0.18,-0.57
-0.17,1.21,-0.64
-0.33,1.67,-0.65
-0.1,1.09,0.15
-0.09,0.19,0.14
0.02,-0.2,0.34
0.03,-0.09,0.31
0.07,0.22,0.19
-0.16,0.27,0.35
-0.33,-0.13,0.54
-0.59,-0.73,0.54
-0.7,-0.82,0.19
-0.56,-0.46,-0.04
-0.06,0.17,-0.03
0.44,0.45,0.32
0.63,0.36,0.67
0.55,0.11,0.75
0.45,-0.01,0.65
0.45,-0.37,0.67
0.45,-0.44,0.87
0.5,-0.44,0.96
0.12,-0.53,1.05
-0.25,-0.45,0.92
-0.21,0.11,0.33
-0.08,0.64,0.09
-0.12,0.35,0.6
-0.21,-0.22,0.77
-0.08,-0.41,1.06
0.09,-0.09,0.33
0.02,-0.16,0.67
-0.25,-0.92,1.28
0.03,-1.02,0.61
0.4,0.02,-0.26
0.52,1.05,-0.55
0.33,1.46,-0.01
-0.4,1.21,0.82
-0.79,1.16,1.31
-0.62,1.75,1.35
-0.16,2.79,1.29
0.35,4.19,1.23
0.6,5.56,0.81
0.67,5.7,0.38
0.27,3.86,0.2
-0.31,1.61,-0.08
-0.31,-0.19,-0.67
-0.12,-1.19,-1.59
0.61,-0.82,-2.28
0.53,0.73,-2.23
0,2.08,-2
-0.5,1.92,-1.94
-0.56,0.12,-0.84
-0.17,-1.41,-0.35
0.3,-2.12,-0.47
0.44,-2.94,-0.17
0.38,-3.74,-0.27
0.26,-4.54,-0.63
0.18,-4.84,-0.88
0.4,-4.37,-1.07
0.51,-3.3,-1.09
0.51,-1.63,-1.28
0.37,-0.13,-1.11
0.15,1.01,-0.87
0.23,1.36,-0.24
0.02,1.05,0.3
-0.11,0.88,0.31
-0.16,0.52,0.34
-0.3,-0.02,0.48
-0.18,-0.32,0.28
-0.12,-0.54,0.09
-0.14,-0.61,-0.1
-0.15,-0.69,-0.19
-0.13,-0.49,-0.22
-0.21,-0.18,-0.42
-0.14,0,-0.06
-0.31,-0.09,-0.06
-0.39,-0.04,-0.2
-0.55,-0.27,0.29
-0.38,-0.25,0.36
-0.08,-0.04,0.29
0.02,0.25,0.22
-0.13,0.07,0.33
-0.23,-0.28,0.46
-0.21,-0.36,0.56
-0.2,-0.18,0.65
-0.28,0.01,0.63
-0.4,-0.09,0.71
-0.57,-0.04,0.8
-0.54,-0.02,0.83
-0.46,-0.05,0.88
-0.32,-0.19,0.76
-0.21,-0.57,0.46
0.17,-0.65,-0.16
0.42,0.1,-0.87
0.17,0.92,-0.75
-0.11,1.08,-0.18
-0.07,1.08,0.7
-0.1,1.94,0.99
0.08,3.65,1.48
-0.42,5.44,0.89
-0.66,6.62,0.79
-0.63,5.11,0.58
0.21,3.43,-0.28
0.64,2.34,-0.85
0.66,1.17,-1.08
0.52,-0.13,-1.15
0.45,-0.89,-1.6
0.65,-0.92,-2
0.47,-0.57,-1.88
0.28,-0.39,-1.53
0.3,-0.7,-1.15
0.27,-1.18,-0.75
0.34,-1.69,-0.47
0.31,-2.27,-0.35
0.29,-2.82,-0.18
0.43,-2.99,-0.32
0.48,-2.82,-0.35
0.35,-2.56,-0.16
0.14,-2.38,-0.25
-0.1,-2.12,-0.18
0.15,-1.55,-0.31
0.3,-0.88,-0.65
0.17,-0.46,-0.06
-0.1,0,-0.63
-0.23,0.67,-0.89
-0.14,0.78,-0.48
0.73,0.55,-0.09
1.2,0.52,0.16
0.88,0.58,0.13
0.2,0.18,0.33
-0.41,-0.24,0.51
-0.22,-0.46,0.32
-0.15,-0.52,0.08
-0.04,-0.11,-0.15
-0.03,0.09,0.12
0,0.25,0.22
0.29,0.1,0.26
0.27,-0.21,0.33
0.4,-0.27,0.27
0.49,-0.34,0.39
0.4,-0.45,0.6
0.2,-0.14,0.59
0.25,0.26,0.64
0.14,0.05,0.89
0.16,-0.1,0.68
0.17,0.18,0.15
-0.11,-0.14,0.97
-0.41,-0.65,0.95
-0.57,-0.46,0.8
-0.28,0.33,0.49
-0.11,0.06,0.86
-0.38,-0.6,1.44
-0.22,-0.38,1.11
0.01,0.14,0.78
-0.2,-0.16,1.24
-0.33,-0.81,1.91
-0.12,-0.8,1.22
0.72,0.29,-0.06
1.1,1.19,-0.36
0.15,1.23,0.86
-0.77,0.96,1.54
-0.73,1.07,1.46
-0.13,1.36,1.17
0.26,1.61,1.16
0.32,2.2,0.72
0.59,3.59,-0.25
0.98,5.18,-0.14
0.7,5.67,0.42
0.27,4.42,0.09
-0.04,2.12,-0.9
-0.23,0.21,-1.12
-0.3,-0.88,-2.41
0.09,-1.04,-2.42
0.21,-0.35,-1.7
0.09,0.72,-1.69
-0.11,1.34,-1.75
-0.13,1.07,-1.53
0.1,0.29,-0.85
0.16,-0.5,-0.42
0.27,-1.33,-0.14
0.26,-2.2,-0.31
0.29,-3.06,-0.4
0.31,-3.74,-0.58
0.13,-4.05,-0.54
-0.04,-4.02,-0.57
-0.07,-3.61,-0.8
0.04,-2.7,-1.1
0.01,-1.51,-1.12
0.08,-0.17,-0.7
-0.2,0.58,-0.53
-0.08,1.2,-0.43
0.09,1.25,-0.33
0.32,0.87,-0.43
0.35,0.32,0.12
0.26,-0.1,0.01
0.01,-0.08,-0.32
-0.32,-0.48,0.02
-0.34,-0.68,0.13
-0.2,-0.59,-0.11
-0.11,-0.01,-0.46
-0.19,0.36,-0.51
-0.29,0.31,-0.33
-0.17,-0.08,0.06
0.17,-0.28,0.14
0.34,-0.02,-0.15
0.07,0.21,-0.01
-0.16,0.09,0.34
-0.25,-0.28,0.46
-0.19,-0.47,0.29
-0.11,-0.09,0.07
-0.21,0.08,0.04
-0.2,-0.06,0.26
-0.15,-0.23,0.39
-0.05,-0.1,0.24
-0.02,0,0.34
-0.14,-0.19,0.75
-0.12,-0.05,0.43
0.15,0.11,0.61
0.08,0.19,0.13
0.02,0,0.4
-0.02,-0.41,0.87
0.12,-0.4,0.76
0.06,-0.07,0.4
-0.28,-0.09,0.65
-0.48,-0.49,1.02
-0.39,-0.36,0.45
-0.43,0.44,0.06
-0.52,0.5,0.12
-0.39,-0.3,0.6
-0.14,-0.51,0.54
0.2,0.37,-0.27
0.3,1.37,-0.59
0.28,1.46,0.33
0.03,0.99,1.21
0.04,0.88,1.3
-0.03,1.48,0.92
-0.31,2.54,0.35
-0.58,3.7,-0.01
-0.66,3.92,-0.17
-0.6,3.22,-0.26
-0.37,2.22,-0.17
0.15,0.97,0.16
