ax,ay,az
0.07,0.22,0.35
-0.14,0.44,0.44
-0.16,0.39,0.48
-0.14,0.11,0.67
-0.12,-0.18,0.79
-0.23,-0.24,1.16
-0.35,0.16,1.27
-0.39,0.69,1.41
-0.56,0.53,1.56
-1.02,0.02,1.47
-0.61,-0.04,1
0.28,-0.11,0.71
1.1,0.11,0.32
1.59,0.55,0.25
1.52,0.84,0.37
1.04,0.9,0.27
0.58,0.97,0.06
0.34,0.57,-0.05
-0.06,-0.08,-0.07
-0.29,-0.28,-0.49
-0.09,-0.16,-0.84
0.33,-0.19,-1.1
0.57,-0.49,-1.25
0.47,-0.77,-1.57
0.02,-0.68,-1.67
-0.22,0.12,-1.63
0.07,1.22,-1.49
0.26,1.67,-1.02
0.35,1.11,-0.36
0.25,-0.04,0.03
0.35,-0.52,0.14
0.47,-0.46,0.09
0.3,-0.13,0.14
-0.07,-0.05,-0.03
-0.18,-0.43,-0.08
-0.24,-0.7,-0.09
-0.38,-0.69,-0.06
-0.39,-0.45,-0.06
-0.54,-0.21,0.03
-0.5,-0.03,0.07
-0.36,0.13,0.02
-0.22,0.13,0.05
-0.19,-0.04,0.03
-0.29,-0.21,0.22
-0.44,-0.52,0.41
-0.46,-0.62,0.4
-0.31,-0.43,0.24
-0.18,0.07,0.31
-0.51,0.41,0.26
-0.93,0.59,0.5
-1.14,0.11,0.88
-0.97,-0.47,1.06
-0.71,-0.39,1.46
-0.65,-0.03,1.67
-0.58,0.2,1.73
-0.18,0.42,1.41
0.03,0.75,1.03
-0.51,0.77,0.4
-0.94,0.75,-0.18
0.34,1.62,-0.76
0.17,1.37,-1.26
0.5,1.84,-1.48
0.54,1.13,-1.11
0.41,-0.24,-0.84
0.61,-0.95,-0.75
0.94,-1.32,-0.67
0.76,-0.99,-0.9
0.58,-0.22,-1.02
0.83,0.13,-0.9
0.98,0.17,-0.8
1.2,0.33,-1.13
1.13,0.47,-1.13
0.68,0.6,-0.83
0.25,0.67,-0.71
0.02,0.67,-0.65
0.03,0.48,-0.62
0.35,0.12,-0.46
0.54,-0.56,-0.2
0.42,-0.67,-0.1
0.3,-0.38,-0.22
0.19,-0.33,-0.15
0.15,-0.29,-0.21
0.28,-0.27,0.01
0.45,-0.3,0.1
0.48,-0.19,0.11
0.22,-0.19,0.2
-0.11,-0.56,0.26
-0.14,-0.59,0.08
-0.19,-0.39,0.24
-0.22,-0.21,0.34
-0.09,-0.03,0.3
0.27,0.03,0.3
0.26,-0.02,0.45
0.03,-0.16,0.7
-0.04,-0.28,0.83
-0.1,-0.29,0.77
0.09,0.05,0.39
0.63,0.61,0.31
0.48,0.92,0.99
-0.2,0.7,1.66
-0.78,0.22,1.81
-1.34,-0.16,1.62
-1.27,0.33,1.07
0.02,0.87,0.71
1.06,0.89,0.29
1.94,1.62,-0.12
1.48,1.47,0.62
0.7,1.07,0.21
0.29,0.38,-0.03
-0.14,-0.8,0.05
-0.56,-1.47,-0.18
-0.59,-1.28,-0.4
-0.22,-0.39,-0.94
0.51,0.97,-1.39
1.41,1.21,-1.55
1.43,0.03,-1.57
0.44,-0.96,-1.58
-0.47,-1.14,-1.83
-0.62,-0.27,-2.05
-0.17,0.76,-1.77
0.38,1.06,-1.06
0.58,0.74,-0.38
0.62,0.26,0.05
0.58,-0.05,0.18
0.22,-0.36,0.25
-0.25,-0.52,0
-0.41,-0.24,-0.3
-0.43,-0.07,-0.16
-0.46,-0.16,0
-0.36,-0.3,-0.12
-0.26,-0.38,-0.2
-0.43,-0.3,-0.15
-0.53,-0.05,-0.16
-0.68,0.1,-0.01
-0.65,-0.19,0.15
-0.61,-0.54,0.53
-0.69,-0.69,0.79
-0.9,-0.24,0.8
-0.77,0.21,0.54
-0.2,0.41,0.28
-0.12,0.31,0.55
-0.69,-0.1,0.99
-1.13,-0.35,1.23
-1.27,-0.26,1.09
-1.16,0.09,0.98
-1,0.52,0.68
-1.01,0.38,0.81
-0.84,-0.03,1.12
-0.11,0.38,0.76
-0.15,1.02,0.71
-0.73,1.05,0.08
-0.95,1.15,-0.19
-1.24,1.29,-0.47
-1.37,1.17,-0.35
-0.48,0.74,-0.49
0.8,0.17,-0.58
1.57,-0.14,-0.98
1.82,-0.45,-1.51
1.66,-0.94,-1.73
0.89,-1.33,-1.26
0.69,-0.94,-1.23
0.68,0.21,-1.18
0.84,1.21,-0.98
0.85,1.4,-0.63
0.61,1.18,-0.3
0.24,0.59,0.14
-0.07,-0.05,0.25
-0.17,-0.34,-0.15
0.03,-0.49,-0.13
0.15,-0.57,-0.09
0.24,-0.41,-0.22
0.52,-0.15,-0.4
0.72,-0.18,-0.31
0.61,-0.55,-0.1
0.38,-0.64,-0.01
0.39,-0.52,0.09
0.37,-0.52,0.48
0.33,-0.4,0.59
0.11,-0.82,0.93
-0.01,-1.26,0.81
0.11,-1.13,0.52
0.16,-0.43,0.43
0.19,0.59,0.21
-0.09,0.97,0.4
-0.44,0.39,0.74
-0.51,-0.17,1.13
-0.48,-0.17,1.12
-0.36,0.13,1.06
-0.29,0.4,1.04
-0.4,0.66,1.11
-0.73,0.73,1.38
-1.21,0.61,1.39
-1.37,0.85,0.96
-0.21,0.99,0.18
1.15,1.11,-0.18
2.05,1.34,0.16
1.19,0.92,0.43
0.33,1.05,-0.28
0.17,1.11,-0.6
0.67,0.02,-0.58
0.58,-1.07,-0.76
0.15,-1.43,-1
0.05,-1.42,-1.3
0.36,-1.11,-1.63
1.09,-0.26,-2.06
1.37,0.76,-1.98
1.12,1.43,-1.49
0.54,1.22,-0.7
0.18,0.45,-0.37
0.02,-0.08,-0.21
-0.16,-0.37,0.19
-0.24,-0.62,0.2
-0.13,-0.61,-0.2
-0.06,-0.45,-0.26
0.19,-0.28,-0.49
0.01,-0.25,-0.28
-0.3,-0.32,-0.16
-0.76,-0.31,0.12
-0.65,-0.27,0.09
-0.48,-0.19,0.06
-0.52,-0.04,-0.01
-0.53,0.09,0.01
-0.32,0.07,0.15
-0.09,-0.13,0.2
-0.05,-0.31,0.21
-0.17,-0.2,0.21
-0.48,0.18,0.03
-0.84,0.41,0.08
-1.04,0.29,0.36
-1,0.2,0.68
-0.91,0.21,0.95
-0.77,0.33,0.84
-0.77,0.46,0.93
-0.8,0.34,1.24
-0.51,0.37,1.21
-0.23,0.67,0.96
-0.49,0.74,0.09
-0.67,0.9,-0.48
-0.77,0.67,-0.49
-0.52,0.43,-0.29
0.09,0.47,-0.3
0.75,0.52,-0.63
1.32,0.42,-0.75
1.77,0.2,-0.96
1.9,-0.01,-1.32
1.41,-0.48,-1.34
0.4,-1.03,-1.03
0.27,-1.06,-0.93
0.8,-0.53,-1.04
1.25,0.49,-0.93
1.07,1.35,-0.58
0.36,1.61,-0.29
-0.24,1.24,-0.22
-0.37,0.49,-0.24
-0.17,-0.15,-0.44
0.13,-0.35,-0.3
0.43,-0.49,-0.11
0.65,-0.67,-0.16
0.86,-0.69,-0.3
0.98,-0.66,-0.27
1.09,-0.53,-0.2
1.08,-0.43,-0.02
0.62,-0.51,0.48
-0.06,-0.58,0.81
-0.25,-0.37,0.76
0.03,-0.25,0.7
0.16,-0.31,0.88
-0.04,-0.25,0.76
-0.32,-0.2,0.75
-0.32,-0.19,0.52
-0.23,-0.03,0.44
-0.38,-0.19,0.59
-0.4,-0.26,0.59
0.05,-0.12,0.62
0.48,-0.1,0.78
0.73,-0.04,0.86
0.52,0.36,1.23
-0.31,0.66,1.69
-0.96,0.85,1.43
-0.69,0.81,0.85
0.12,0.55,0.43
1.1,0.94,0.17
1.45,1.33,0.54
0.74,1.31,0.35
0.43,1.57,-0.09
0.34,0.97,-0.16
0.28,-0.23,-0.36
-0.07,-1.18,-0.56
-0.34,-1.75,-0.82
-0.19,-1.65,-1.23
0.41,-0.9,-1.56
0.76,0.02,-2.09
0.84,0.96,-2.2
0.69,1.35,-1.77
0.53,1.07,-1.08
0.34,0.61,-0.46
0.09,0.2,-0.07
0.03,0.04,0.08
-0.04,-0.32,0.35
-0.22,-0.68,0.25
-0.21,-0.75,-0.23
-0.03,-0.56,-0.5
0.08,-0.22,-0.47
-0.01,-0.05,-0.41
-0.36,-0.02,-0.34
-0.55,-0.08,-0.3
-0.59,-0.18,-0.07
-0.59,-0.32,0.12
-0.65,-0.4,0.11
-0.83,-0.37,0.28
-0.8,-0.29,0.45
-0.48,-0.23,0.38
-0.31,-0.23,0.22
-0.31,-0.06,0.14
-0.36,0.18,0.2
-0.62,0.31,0.42
-1.05,0.25,0.42
-1.32,0.22,0.46
-1.33,0.21,0.71
-1.29,0.35,1.23
-1.1,0.4,1.67
-1.02,0.14,1.89
-0.53,0.21,1.73
-0.17,0.93,1.14
-0.4,1.44,0.47
-0.62,1.44,-0.35
-0.71,0.89,-0.57
-0.54,0.62,-0.86
-0.19,0.96,-1.16
0.5,1.19,-1.54
1.67,0.73,-1.59
1.81,-0.5,-0.99
1.62,-1.47,-0.98
1,-1.61,-0.96
0.16,-1.26,-0.91
0.32,-0.38,-1.17
1.18,0.49,-1.26
1.75,0.75,-0.97
1.64,0.67,-0.71
1.1,0.54,-0.67
0.32,0.2,-0.37
-0.36,-0.06,-0.51
-0.31,0.06,-0.49
0.29,0.21,-0.4
0.87,0.16,-0.42
0.8,-0.04,-0.31
0.15,-0.52,0.07
-0.22,-0.7,0.06
0.21,-0.54,0.23
0.36,-0.41,0.36
0.41,-0.29,0.51
0.26,-0.36,0.31
-0.05,-0.39,0.37
-0.12,-0.48,0.63
-0.13,-0.59,0.84
-0.22,-0.47,0.82
-0.29,-0.33,0.75
-0.16,-0.12,0.44
0,0.06,0.5
-0.19,0.25,0.83
-0.5,0.15,1.09
-0.64,-0.36,0.88
-0.11,-0.34,0.53
0.05,0.45,1.05
-1.04,1.15,1.59
-1.9,1.81,1.11
-1.39,1.82,1.44
-0.5,0.92,0.92
0.73,0.55,0.3
1.62,0.57,0.37
1.52,0.61,-0.17
0.76,0.79,-0.86
0.56,1.5,-1.48
0.91,0.67,-1.31
0.37,-1.3,-1.08
0,-2.25,-1.16
0.38,-1.57,-1.45
1.2,0.2,-1.74
1.81,1.4,-1.67
1.43,1.36,-1.13
0.63,0.54,-0.81
0.09,-0.09,-0.75
-0.31,-0.44,-0.61
-0.01,-0.26,-0.39
0.51,0.01,-0.22
0.37,-0.16,-0.09
0.02,-0.37,-0.09
-0.35,-0.37,-0.1
-0.51,-0.35,-0.31
-0.23,-0.2,-0.51
-0.07,-0.05,-0.5
-0.26,-0.05,-0.28
-0.43,-0.07,-0.21
-0.38,-0.11,-0.1
-0.31,-0.23,0.17
-0.35,-0.3,0.45
-0.45,-0.2,0.41
-0.55,-0.12,0.42
-0.46,-0.04,0.42
-0.48,-0.09,0.32
-0.55,-0.27,0.22
-0.61,-0.41,0.23
-0.52,-0.23,0.02
-0.71,0.17,-0.01
-0.75,0.39,0.02
-0.22,0.23,0.34
-0.5,-0.22,0.7
-1.17,-0.09,1.09
-1.29,0.48,1.48
-1.08,0.86,1.73
-0.43,1.03,1.5
-0.31,0.87,1.02
-0.44,0.82,0.28
-0.63,0.75,0.01
-0.51,0.72,-0.48
-0.25,0.91,-0.87
0.2,1.17,-0.96
0.77,1.24,-1.15
